  | c3 | c10 | c25 | c50 | c75 | c90 | c97
3 | 91 | 93 | 95 | 98 | 100 | 102 | 105 
4 | 97 | 99 | 102 | 105 | 108 | 110 | 113
5 | 103 | 106 | 109 | 112 | 115 | 117 | 120
6 | 109 | 112 | 115 | 118 | 122 | 125 | 128
7 | 115 | 118 | 121 | 125 | 128 | 131 | 135
8 | 120 | 123 | 127 | 131 | 134 | 138 | 141
9 | 125 | 128 | 132 | 136 | 140 | 144 | 147
10	| 129 | 133 | 137 | 141 | 146 | 150 | 154
11	| 134 | 138 | 142 | 147 | 151 | 156 | 160
12	| 139 | 143 | 148 | 153 | 158 | 163 | 167
13	| 145 | 150 | 155 | 160 | 165 | 170 | 175
14	| 152 | 157 | 162 | 167 | 172 | 177 | 182
15	| 158 | 163 | 167 | 172 | 177 | 182 | 187
16	| 163 | 167 | 171 | 176 | 180 | 185 | 189
17	| 165 | 169 | 173 | 178 | 182 | 186 | 190
18	| 167 | 171 | 174 | 179 | 183 | 187 | 191 
