  | c3 | c10 | c25 | c50 | c75 | c90 | c97
3 | 12 | 13 | 14 | 15 | 16 | 18 | 20 
4 | 14 | 15 | 16 | 17 | 19 | 21 | 23
5 | 15 | 16 | 17 | 19 | 21 | 23 | 27
6 | 17 | 18 | 20 | 22 | 24 | 28 | 32
7 | 19 | 20 | 22 | 24 | 28 | 32 | 37
8 | 21 | 22 | 25 | 28 | 32 | 37 | 44
9 | 23 | 25 | 27 | 31 | 36 | 41 | 50
10	| 25 | 27 | 30 | 34 | 40 | 47 | 56
11	| 27 | 30 | 33 | 38 | 45 | 52 | 63
12	| 30 | 33 | 37 | 43 | 50 | 58 | 70
13	| 33 | 37 | 42 | 48 | 56 | 65 | 77
14	| 38 | 42 | 47 | 54 | 62 | 71 | 83
15	| 43 | 47 | 52 | 59 | 66 | 76 | 87
16	| 47 | 51 | 57 | 63 | 71 | 80 | 91
17	| 51 | 55 | 60 | 67 | 75 | 83 | 94
18	| 54 | 59 | 63 | 70 | 78 | 86 | 96 
