  | c3 | c10 | c25 | c50 | c75 | c90 | c97
3 | 89 | 92 | 94 | 97 | 99 | 101 | 104 
4 | 96 | 98 | 101 | 104 | 106 | 109 | 111
5 | 102 | 105 | 107 | 111 | 114 | 116 | 119
6 | 108 | 111 | 114 | 117 | 120 | 124 | 127
7 | 113 | 116 | 120 | 123 | 127 | 130 | 133
8 | 118 | 122 | 125 | 130 | 133 | 137 | 140
9 | 124 | 127 | 131 | 135 | 140 | 143 | 147
10	| 128 | 132 | 136 | 141 | 145 | 149 | 153
11	| 134 | 139 | 142 | 147 | 152 | 157 | 160
12	| 141 | 145 | 149 | 154 | 158 | 162 | 167
13	| 147 | 151 | 155 | 159 | 163 | 167 | 171
14	| 151 | 154 | 158 | 162 | 167 | 170 | 174
15	| 152 | 156 | 160 | 164 | 168 | 172 | 175
16	| 153 | 157 | 160 | 164 | 168 | 172 | 176
17	| 154 | 157 | 161 | 165 | 169 | 173 | 176
18	| 154 | 158 | 161 | 165 | 169 | 173 | 176 
