wiek | c3 | c10 | c25 | c50 | c75 | c90 | c97
3 | 12 | 13 | 13 | 15 | 16 | 17 | 19 
4 | 13 | 14 | 15 | 17 | 18 | 20 | 23
5 | 15 | 16 | 17 | 19 | 21 | 23 | 27
6 | 16 | 17 | 19 | 21 | 24 | 27 | 31
7 | 18 | 19 | 21 | 23 | 27 | 30 | 35
8 | 20 | 21 | 23 | 27 | 30 | 35 | 41
9 | 22 | 24 | 26 | 30 | 34 | 40 | 47
10	| 24 | 26 | 29 | 33 | 39 | 45 | 53
11	| 27 | 30 | 33 | 38 | 44 | 51 | 60
12	| 30 | 33 | 37 | 43 | 50 | 57 | 67
13	| 34 | 38 | 42 | 47 | 54 | 62 | 72
14	| 38 | 42 | 46 | 51 | 58 | 65 | 74
15	| 41 | 44 | 48 | 54 | 60 | 67 | 76
16	| 43 | 46 | 50 | 55 | 61 | 68 | 77
17	| 44 | 47 | 51 | 56 | 62 | 69 | 77
18	| 45 | 48 | 51 | 56 | 62 | 69 | 78 
